id,canonical_name,confidence,reason,unpublished_at
2d3d4594-a53f-4308-b220-4f3daaef19e3,"1031 Crown Property Owner, Llc",0.9,The property type is explicitly listed as 'Commercial' and the LLC structure with 'Crown Property Owner' naming suggests a commercial real estate investment entity.,2026-05-03T15:26:47.133654
97c70418-3001-4915-bf87-3477504de9ec,"1095 Jupiter Park Property Owner, Llc",0.9,The property type is explicitly filed as 'Commercial' and the name includes 'Jupiter Park' which typically indicates a commercial development or business park.,2026-05-03T15:26:47.396643
0b5a1d53-d194-42c4-97f0-e36712e8af77,"1097 Jupiter Park Property Owner, Llc",0.9,The property type is explicitly listed as 'Commercial' and the LLC structure with 'Property Owner' in the name strongly indicates a commercial real estate investment entity.,2026-05-03T15:26:47.736308
0257af1b-d511-4469-864f-8020d2de6363,"115 South Olive Property Owner, Llc",0.9,The property type is explicitly listed as 'Commercial' and the LLC structure with 'Property Owner' in the name suggests commercial real estate ownership rather than a residential community association,2026-05-03T15:26:47.949839
c955170d-0b44-4dd3-b019-7cdf95158a9a,"127 Summerfield Property Owner, Llc",0.9,The property type is explicitly filed as 'Commercial' and the LLC structure is typical for commercial property ownership.,2026-05-03T15:26:48.179467
08f8d95c-3cba-40d9-95de-e11218dc0e51,"128 Triple Diamond Property Owner, Llc",0.9,The property type is explicitly filed as 'Commercial' and the LLC structure with 'Property Owner' designation typically indicates commercial real estate ownership rather than residential community man,2026-05-03T15:26:48.419274
f66435ae-f14a-4452-b072-c5c157313a99,"130 N 2Nd Property Owner, Llc",0.9,The property type is explicitly listed as 'Commercial' and the LLC structure with a specific street address suggests a commercial property investment rather than a residential community association.,2026-05-03T15:26:48.649141
8d661b72-baff-4583-b5d7-6b39d68e0fd1,"131 Atlantic Ave Property Owner, Llc",0.9,The property type is explicitly listed as 'Commercial' and the LLC structure with a specific street address suggests a commercial real estate investment rather than a residential community association,2026-05-03T15:26:48.866152
b638edbb-a651-48d7-8134-ce7b1b52ae58,"1330 Indiantown Property Owner, Llc",0.9,"The property type is explicitly listed as 'Commercial' and the entity is structured as an LLC, which is typical for commercial property ownership.",2026-05-03T15:26:49.124295
b33e6575-3ab4-40ba-9640-62d87d686420,"1447 Rail Head Property Owner, Llc",0.9,"The property type is explicitly listed as 'Commercial' and the name 'Rail Head Property Owner, LLC' suggests a commercial rail or transportation-related facility.",2026-05-03T15:26:49.311153
2a2dcb05-c5ad-4daa-bca4-0e0507021cbd,150 OCEANSIDE,0.9,The property type is explicitly filed as 'Commercial' and the low unit count of 6 suggests a small commercial building rather than a residential community.,2026-05-03T15:26:49.542399
728f0609-864d-459b-93c6-3d4466462c49,"17591 Scarsdale Property Owner, Llc",0.9,The property type is explicitly listed as 'Commercial' and the entity name includes 'LLC' which is typical for commercial property ownership structures.,2026-05-03T15:26:49.838621
d587e75b-8186-4264-a31d-c1f06ec7e409,"2724 N Australian Property Owner, Llc",0.9,The property type is explicitly listed as 'Commercial' and the LLC structure is typical for commercial property ownership.,2026-05-03T15:26:50.059167
1ab2ac5b-eb76-4e1d-beb9-444aa0ce3948,"309 Angle Property Owner, Llc",0.9,The property type is explicitly listed as 'Commercial' and the LLC structure is typical for commercial property ownership.,2026-05-03T15:26:50.265359
2cb11dff-3afc-4450-8dc7-28a26377b788,"3200 Tyrone Property Owner, Llc",0.9,The property type is explicitly listed as 'Commercial' and the LLC structure suggests a business property rather than a residential community.,2026-05-03T15:26:50.465414
f17b0b68-5bae-4895-b5d8-05e65a48b3ad,"340 Pike Road Property Owner, Llc",0.9,The property type is explicitly listed as 'Commercial' and the entity name includes 'LLC' which typically indicates a business/commercial property ownership structure.,2026-05-03T15:26:50.770821
